"Index","AMAZ.Open","AMAZ.High","AMAZ.Low","AMAZ.Close","AMAZ.Volume"
2008-05-30,4,4,4,4,62
2008-06-02,4,4,4,4,162
2008-06-03,4.4,4.4,4.4,4.4,125
2008-06-04,4,4,4,4,341
2008-06-05,4,4,4,4,52
2008-06-06,4,4,4,4,50
2008-06-09,3.6,3.6,3.6,3.6,200
2008-06-10,4,4,4,4,125
2008-06-11,3.6,3.6,3.4,3.4,500
2008-06-12,NA,NA,NA,3.4,0
2008-06-13,NA,NA,NA,3.4,0
2008-06-16,NA,NA,NA,3.4,0
2008-06-17,NA,NA,NA,3.4,0
2008-06-18,4,4,4,4,190
2008-06-19,4,4,4,4,625
2008-06-20,4,4,3.6,3.8,400
2008-06-23,3.6,3.6,3.06,3.2,835
2008-06-24,NA,NA,NA,3.2,0
2008-06-25,3.2,3.2,3.2,3.2,125
2008-06-26,3.6,3.6,3.6,3.6,250
2008-06-27,NA,NA,NA,3.6,0
2008-06-30,NA,NA,NA,3.6,0
2008-07-01,3.6,3.6,2.8,2.8,150
2008-07-02,2.8,3.2,2.8,3.2,75
2008-07-03,3.2,3.2,3.2,3.2,500
2008-07-07,3.2,3.2,3.2,3.2,538
2008-07-08,3.2,3.2,2.8,3.2,488
2008-07-09,2.8,2.8,2.8,2.8,62
2008-07-10,2.8,2.8,2.8,2.8,545
2008-07-11,NA,NA,NA,2.8,0
2008-07-14,3.6,3.6,3.6,3.6,25
2008-07-15,3.4,3.4,3.4,3.4,50
2008-07-16,NA,NA,NA,3.4,0
2008-07-17,NA,NA,NA,3.4,0
2008-07-18,NA,NA,NA,3.4,0
2008-07-21,3.2,3.2,3.2,3.2,12
2008-07-22,NA,NA,NA,3.2,0
2008-07-23,2.88,2.88,2.8,2.8,1291
2008-07-24,2.8,3,2.8,2.8,812
2008-07-25,NA,NA,NA,2.8,0
2008-07-28,2.68,2.68,2.68,2.68,125
2008-07-29,2.8,2.8,2.76,2.76,400
2008-07-30,2.68,2.68,1.7,1.7,4138
2008-07-31,2,2,2,2,1150
2008-08-01,NA,NA,NA,2,0
2008-08-04,NA,NA,NA,2,0
